produto,categoria,preco,data,regiao,quantidade,desconto,idade,sexo,campanha,mes
Laptop,Escritório,577.48404332949,2023-08-18,Oeste,4.0,0.17538304922383505,36,F,BlackFriday,8
Smartphone,Eletrônicos,496.8374913053249,2022-06-17,Norte,2.0,0.18690858861216628,46,M,Padrao,6
Livro,Escritório,681.5698592005688,2022-09-16,Sul,5.0,0.21806716283801106,26,M,BlackFriday,9
Livro,Eletrônicos,191.4560793244941,2023-12-23,Sul,12.0,0.05703742437306311,55,M,Padrao,12
Teclado,Escritório,35.759899619072655,2022-01-01,Norte,6.0,0.09048786774146655,45,F,Padrao,1
Mouse,Roupas,988.7346821327664,2022-07-22,Norte,9.0,0.0621401907951437,40,M,Padrao,7
Camiseta,Livros,754.9350827431763,2023-12-30,Sul,7.5,0.060910500089313674,46,M,Padrao,12
Mouse,Eletrônicos,311.7577588302004,2022-07-10,Sul,8.0,0.19165481796944991,19,F,Padrao,7
Livro,Eletrônicos,866.9012903798182,2023-04-23,Norte,1.0,0.19294813205179775,61,F,Promocao,4
Laptop,Livros,651.0928152997777,2022-12-02,Leste,12.0,0.06892722421123595,26,M,BlackFriday,12
Mouse,Livros,899.0321429546947,2022-06-04,Sul,1.0,0.12568331486416315,27,F,BlackFriday,6
Smartphone,Escritório,48.62876264088201,2023-11-14,Leste,6.0,0.19289353923521296,27,M,Padrao,11
Mouse,Eletrônicos,40.987930043880766,2023-02-16,Leste,5.0,0.29327181765913884,49,M,Padrao,2
Livro,Livros,700.2959627167409,2023-02-25,Leste,6.0,0.12781283146864234,58,M,Padrao,2
Calça,Eletrônicos,642.0791978850976,2023-02-12,Sul,2.0,0.1265943650548313,35,M,Promocao,2
Laptop,Livros,900.3923705844463,2023-06-28,Sul,2.0,0.19057246457719704,25,F,Padrao,6
Mouse,Escritório,49.660090966295215,2023-04-16,Norte,9.0,0.17775441595061692,34,F,BlackFriday,4
Fone de ouvido,Eletrônicos,268.04421416419007,2023-10-04,Norte,8.0,0.03578568866194299,35,M,Promocao,10
Cadeira,Livros,746.4275432199679,2022-06-11,Oeste,3.0,0.2538675793489437,67,F,Padrao,6
Teclado,Eletrônicos,885.9623049025637,2022-09-06,Leste,5.0,0.21496969821418277,58,M,Promocao,9
Tablet,Livros,481.8818167857745,2022-05-17,Oeste,5.0,0.06162708895376694,53,F,Padrao,5
Fone de ouvido,Eletrônicos,765.9239863835373,2023-01-11,Norte,3.0,0.18038962963663438,19,M,Promocao,1
Teclado,Roupas,772.5422980733881,2022-02-16,Sul,9.0,0.05437462031879723,52,F,BlackFriday,2
Laptop,Eletrônicos,592.70588266204,2022-03-16,Leste,3.0,0.2117893250877139,66,F,Padrao,3
Livro,Roupas,910.5792436742698,2023-12-08,Leste,6.0,0.029403227294819277,41,M,Padrao,12
Mouse,Escritório,690.5136003500003,2023-01-12,Oeste,5.0,0.06256124282848509,29,M,Padrao,1
Mouse,Livros,395.84521494701465,2023-02-18,Sul,8.0,0.1222963105112178,37,F,BlackFriday,2
Camiseta,Eletrônicos,219.4514478423493,2023-11-19,Oeste,1.5,0.09996719180503415,27,F,Padrao,11
Livro,Eletrônicos,91.80411824798117,2023-11-22,Sul,9.0,0.2659443472188892,33,F,Promocao,11
Camiseta,Escritório,910.6624962910549,2022-06-10,Oeste,2.0,0.2191294194600221,34,F,Padrao,6
Teclado,Livros,701.3693404432825,2023-04-20,Oeste,9.0,0.1509581960755919,38,M,Promocao,4
Livro,Livros,817.5105226212696,2023-03-04,Sul,9.0,0.10867354646337499,34,F,Promocao,3
Calça,Roupas,479.4363761402816,2023-02-18,Oeste,5.0,0.20524721418377764,56,M,BlackFriday,2
Mouse,Roupas,418.2701484245221,2023-02-05,Oeste,6.0,0.29618190418488977,65,F,Padrao,2
Cadeira,Eletrônicos,42.13080652535194,2023-07-08,Oeste,6.0,0.17855432598752816,35,M,Padrao,7
Cadeira,Eletrônicos,53.231415918685265,2022-06-08,Norte,3.0,0.23015909024027068,25,M,Padrao,6
Camiseta,Roupas,901.43750783435,2022-07-12,Oeste,8.0,0.15734403453037005,19,M,Promocao,7
Tablet,Livros,556.4548331955876,2022-08-06,Norte,4.0,0.27350739443562133,39,F,BlackFriday,8
Smartphone,Escritório,100.18879271941117,2022-12-27,Sul,12.0,0.11309799635193303,27,M,BlackFriday,12
Camiseta,Escritório,297.95076656745283,2023-08-19,Oeste,9.0,0.12175481901100985,45,F,BlackFriday,8
Calça,Eletrônicos,200.6087528646348,2023-08-14,Oeste,5.0,0.02908240083394784,44,M,Padrao,8
Smartphone,Escritório,273.86137352028584,2022-07-14,Sul,3.0,0.13790458093887792,46,M,BlackFriday,7
Livro,Eletrônicos,839.4818639722683,2022-03-12,Leste,4.0,0.2648974669954272,46,M,BlackFriday,3
Cadeira,Livros,265.23742664990834,2022-01-29,Oeste,2.0,0.28742774959770945,34,F,Promocao,1
Livro,Livros,161.41875617769634,2023-11-06,Leste,1.5,0.0571033924433661,37,M,Promocao,11
Camiseta,Livros,938.9745330670509,2022-01-27,Leste,8.0,0.17723599266144116,21,M,Promocao,1
Camiseta,Escritório,500.16720792958074,2022-08-22,Norte,1.0,0.013161643723246862,25,M,Promocao,8
Laptop,Roupas,440.88575121957183,2023-07-10,Sul,5.0,0.25583868245712243,65,F,Promocao,7
Teclado,Escritório,770.5156470565341,2023-10-03,Norte,8.0,0.2590703499781294,20,F,Promocao,10
Laptop,Escritório,433.5295251237262,2022-02-13,Sul,7.0,0.14394154062924666,58,F,BlackFriday,2
Mouse,Eletrônicos,879.4212205659527,2022-04-21,Norte,2.0,0.0456075174091627,43,F,Padrao,4
Cadeira,Roupas,405.9418623152916,2022-12-18,Norte,13.5,0.22873011982318994,66,F,Promocao,12
Livro,Livros,999.3084002109858,2023-01-13,Norte,5.0,0.12868359818095187,55,M,Promocao,1
Smartphone,Livros,259.06979662997134,2022-12-26,Sul,1.5,0.29137580723386325,44,F,Promocao,12
Teclado,Roupas,931.1229970083267,2022-06-29,Norte,9.0,0.05468459639168603,64,F,Padrao,6
Mouse,Roupas,820.1721401034938,2023-07-09,Norte,4.0,0.22723256779388684,38,M,Padrao,7
Smartphone,Roupas,601.9333287415633,2023-01-13,Sul,1.0,0.03846791339975257,22,M,Padrao,1
Teclado,Eletrônicos,768.3582708423424,2023-05-05,Oeste,7.0,0.13769295080585559,62,M,Padrao,5
Fone de ouvido,Escritório,65.72710264882646,2022-09-20,Oeste,4.0,0.17855618852101704,59,F,Padrao,9
Fone de ouvido,Eletrônicos,312.2373323082378,2023-07-04,Sul,7.0,0.04468932334119339,23,M,Promocao,7
Calça,Livros,585.8486850821104,2023-07-21,Leste,7.0,0.10457583494422776,61,F,BlackFriday,7
Tablet,Eletrônicos,779.8175247943377,2022-01-22,Leste,9.0,0.28744200274724274,44,F,BlackFriday,1
Tablet,Eletrônicos,283.43790623049057,2023-05-03,Sul,3.0,0.0789743707874553,25,M,Promocao,5
